execution_number,model,question_number,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1
17,seq_llama_v2,2,0.3,0.5454545454545454,0.38709676961498435,0.3,0.5454545454545454,0.38709676961498435
17,seq_llama_v2,3,0.2857142857142857,0.3333333333333333,0.3076923027218935,0.2857142857142857,0.3333333333333333,0.3076923027218935
17,seq_llama_v2,5,0.11330049261083744,0.18699186991869918,0.14110428977963055,0.09359605911330049,0.15447154471544716,0.11656441247901708
17,seq_llama_v2,8,0.03529411764705882,0.20689655172413793,0.06030150504785243,0.029411764705882353,0.1724137931034483,0.05025125379157104
17,seq_llama_v2,9,0.15217391304347827,0.19444444444444445,0.17073170239143384,0.1358695652173913,0.1736111111111111,0.15243901946460456
17,seq_llama_v2,10,0.0053475935828877,0.07692307692307693,0.009999998784500148,0.0053475935828877,0.07692307692307693,0.009999998784500148
17,seq_llama_v2,11,0.1921182266009852,0.2765957446808511,0.2267441812089306,0.18226600985221675,0.2624113475177305,0.21511627423218643
17,seq_llama_v2,12,0.18461538461538463,0.10526315789473684,0.13407820766517917,0.15384615384615385,0.08771929824561403,0.11173183895009539
17,seq_llama_v2,14,0.13157894736842105,0.1282051282051282,0.12987012487097338,0.1118421052631579,0.10897435897435898,0.11038960539045393
17,seq_llama_v4,1,0.028846153846153848,0.0967741935483871,0.04444444090644747,0.028846153846153848,0.0967741935483871,0.04444444090644747
17,seq_llama_v4,2,0.22018348623853212,0.5454545454545454,0.31372548609850914,0.22018348623853212,0.5454545454545454,0.31372548609850914
17,seq_llama_v4,3,0.2323943661971831,0.55,0.3267326690912656,0.2323943661971831,0.55,0.3267326690912656
17,seq_llama_v4,5,0.12301587301587301,0.25203252032520324,0.16533332892501343,0.10714285714285714,0.21951219512195122,0.14399999559168014
17,seq_llama_v4,8,0.023972602739726026,0.2413793103448276,0.043613705521491505,0.023972602739726026,0.2413793103448276,0.043613705521491505
17,seq_llama_v4,9,0.1875,0.20833333333333334,0.19736841606648212,0.1625,0.18055555555555555,0.17105262659279794
17,seq_llama_v4,10,0.0035971223021582736,0.07692307692307693,0.006872851380120794,0.0035971223021582736,0.07692307692307693,0.006872851380120794
17,seq_llama_v4,11,0.2682926829268293,0.23404255319148937,0.24999999502324388,0.22764227642276422,0.19858156028368795,0.21212120714445606
17,seq_llama_v4,12,0.08333333333333333,0.008771929824561403,0.015873014149660053,0.08333333333333333,0.008771929824561403,0.015873014149660053
17,seq_llama_v4,14,0.1791044776119403,0.15384615384615385,0.16551723640808577,0.16417910447761194,0.14102564102564102,0.15172413295980994
18,ind_gemma_v2,1,0.012987012987012988,0.06451612903225806,0.021621618831848426,0.012987012987012988,0.06451612903225806,0.021621618831848426
18,ind_gemma_v2,2,0.06578947368421052,0.11363636363636363,0.08333332868888914,0.06578947368421052,0.11363636363636363,0.08333332868888914
18,ind_gemma_v2,3,0.3055555555555556,0.36666666666666664,0.3333333283746557,0.2777777777777778,0.3333333333333333,0.30303029807162535
18,ind_gemma_v2,5,0.3142857142857143,0.35772357723577236,0.3346007554771647,0.3,0.34146341463414637,0.31939163000187953
18,ind_gemma_v2,8,0.04020100502512563,0.27586206896551724,0.07017543637619275,0.035175879396984924,0.2413793103448276,0.06140350655163135
18,ind_gemma_v2,9,0.34594594594594597,0.4444444444444444,0.3890577458375292,0.31351351351351353,0.4027777777777778,0.3525835817037907
18,ind_gemma_v2,10,0.010752688172043012,0.07692307692307693,0.01886792237629074,0.010752688172043012,0.07692307692307693,0.01886792237629074
18,ind_gemma_v2,11,0.20666666666666667,0.2198581560283688,0.21305841424876903,0.2,0.2127659574468085,0.20618556201509206
18,ind_gemma_v2,12,0.175,0.12280701754385964,0.14432989206079302,0.125,0.08771929824561403,0.10309277865873123
18,ind_gemma_v2,14,0.23478260869565218,0.17307692307692307,0.1992619877343719,0.21739130434782608,0.16025641025641027,0.18450184013289592
18,ind_gemma_v4,1,0.009259259259259259,0.03225806451612903,0.0143884857429748,0.009259259259259259,0.03225806451612903,0.0143884857429748
18,ind_gemma_v4,2,0.36923076923076925,0.5454545454545454,0.44036696766265465,0.3384615384615385,0.5,0.4036697199562327
18,ind_gemma_v4,3,0.2839506172839506,0.38333333333333336,0.326241129862683,0.24691358024691357,0.3333333333333333,0.2836879383733213
18,ind_gemma_v4,5,0.28289473684210525,0.34959349593495936,0.3127272677828761,0.27631578947368424,0.34146341463414637,0.30545454051014886
18,ind_gemma_v4,8,0.075,0.20689655172413793,0.11009173921387104,0.075,0.20689655172413793,0.11009173921387104
18,ind_gemma_v4,9,0.2986111111111111,0.2986111111111111,0.29861110611111114,0.2777777777777778,0.2777777777777778,0.2777777727777779
